atomicNumber,symbol,name,atomicMass,cpkColorHex,electronConfiguration,electronegativityPauling,atomicRadiusPM,ionRadiusInPM,vanderWaalsRadiusInPM,IE-1inkJ/mol,EAinkJ/mol,standardStates,bondingType,meltingPointInK,boilingPointInK,densityIng/mL,metalorNonmetal,yearDiscovered
91,Pa,Protactinium,231.03588(2),00A1FF,[Rn]5f26d17s2,1.5,,104(+3),,568,,solid,metallic,1845,4273,15.37,10,1913
92,U,Uranium,238.02891(3),008FFF,[Rn]5f36d17s2,1.38,,102.5(+3),186,598,,solid,metallic,1408,4200,19.05,10,1789
93,Np,Neptunium,237,0080FF,[Rn]5f46d17s2,1.36,,110(+2),,605,,solid,metallic,917,4273,20.45,10,1940
94,Pu,Plutonium,244,006BFF,[Rn]5f67s2,1.28,,100(+3),,585,,solid,metallic,913,3503,19.82,10,1940
95,Am,Americium,243,545CF2,[Rn]5f77s2,1.3,,126(+2),,578,,solid,metallic,1449,2284,13.67,10,1944
96,Cm,Curium,247,785CE3,[Rn]5f76d17s2,1.3,,97(+3),,581,,solid,metallic,1618,3383,13.51,10,1944
97,Bk,Berkelium,247,8A4FE3,[Rn]5f97s2,1.3,,96(+3),,601,,solid,metallic,1323,,14.78,10,1949
98,Cf,Californium,251,A136D4,[Rn]5f107s2,1.3,,95(+3),,608,,solid,metallic,1173,,15.1,10,1950
99,Es,Einsteinium,252,B31FD4,[Rn]5f117s2,1.3,,,,619,,solid,,1133,,,10,1952
100,Fm,Fermium,257,B31FBA,[Rn]5f127s2,1.3,,,,627,,,,1800,,,10,1952
101,Md,Mendelevium,258,B30DA6,[Rn]5f137s2,1.3,,,,635,,,,1100,,,10,1955
102,No,Nobelium,259,BD0D87,[Rn]5f147s2,1.3,,,,642,,,,1100,,,10,1957
103,Lr,Lawrencium,262,C70066,[Rn]5f147s27p1,1.3,,,,,,,,1900,,,8,1961
104,Rf,Rutherfordium,267,CC0059,[Rn]5f146d27s2,,,,,,,,,,,,8,1969
105,Db,Dubnium,268,D1004F,[Rn].5f14.6d3.7s2,,,,,,,,,,,,8,1967
106,Sg,Seaborgium,271,D90045,[Rn].5f14.6d4.7s2,,,,,,,,,,,,8,1974
107,Bh,Bohrium,272,E00038,[Rn].5f14.6d5.7s2,,,,,,,,,,,,8,1976
108,Hs,Hassium,270,E6002E,[Rn].5f14.6d6.7s2,,,,,,,,,,,,8,1984
109,Mt,Meitnerium,276,EB0026,[Rn].5f14.6d7.7s2,,,,,,,,,,,,8,1982
110,Ds,Darmstadtium,281,,[Rn].5f14.6d9.7s1,,,,,,,,,,,,8,1994
111,Rg,Roentgenium,280,,[Rn].5f14.6d10.7s1,,,,,,,,,,,,8,1994
112,Cn,Copernicium,285,,[Rn].5f14.6d10.7s2,,,,,,,,,,,,8,1996
113,Uut,Ununtrium,284,,[Rn].5f14.6d10.7s2.7p1,,,,,,,,,,,,7,2003
114,Uuq,Ununquadium,289,,[Rn].5f14.6d10.7s2.7p2,,,,,,,,,,,,7,1998
115,Uup,Ununpentium,288,,[Rn].5f14.6d10.7s2.7p3,,,,,,,,,,,,6,2003
116,Uuh,Ununhexium,293,,[Rn].5f14.6d10.7s2.7p4,,,,,,,,,,,,2,2000
117,Uus,Ununseptium,,,[Rn].5f14.6d10.7s2.7p5,,,,,,,,,,,,3,2010
118,Uuo,Ununoctium,294,,[Rn].5f14.6d10.7s2.7p6,,,,,,,,,N/A,N/A,N/A,4,2002
